RUN	com.myGatlingTest.MyComputerJourney	mycomputerjourney	1614037657540	l	3.3.1
USER	MyComputerJourney	54	START	1614037677510	1614037677510
USER	MyComputerJourney	55	START	1614037677554	1614037677554
REQUEST	41		LoadHomePage	1614037676874	1614037677574	OK	 
USER	MyComputerJourney	56	START	1614037677606	1614037677606
REQUEST	42		LoadHomePage	1614037676925	1614037677616	OK	 
USER	MyComputerJourney	57	START	1614037677658	1614037677658
REQUEST	43		LoadHomePage	1614037676969	1614037677660	OK	 
REQUEST	44		LoadHomePage	1614037677015	1614037677708	OK	 
USER	MyComputerJourney	58	START	1614037677718	1614037677718
USER	MyComputerJourney	59	START	1614037677754	1614037677754
REQUEST	45		LoadHomePage	1614037677073	1614037677763	OK	 
REQUEST	46		LoadHomePage	1614037677115	1614037677786	OK	 
USER	MyComputerJourney	60	START	1614037677812	1614037677812
USER	MyComputerJourney	61	START	1614037677858	1614037677858
REQUEST	47		LoadHomePage	1614037677175	1614037677860	OK	 
REQUEST	48		LoadHomePage	1614037677215	1614037677898	OK	 
USER	MyComputerJourney	62	START	1614037677912	1614037677912
REQUEST	49		LoadHomePage	1614037677258	1614037677930	OK	 
USER	MyComputerJourney	63	START	1614037677960	1614037677960
REQUEST	50		LoadHomePage	1614037677312	1614037677998	OK	 
USER	MyComputerJourney	64	START	1614037678011	1614037678011
REQUEST	51		LoadHomePage	1614037677359	1614037678039	OK	 
USER	MyComputerJourney	65	START	1614037678058	1614037678058
REQUEST	52		LoadHomePage	1614037677412	1614037678091	OK	 
USER	MyComputerJourney	66	START	1614037678111	1614037678111
REQUEST	53		LoadHomePage	1614037677461	1614037678133	OK	 
USER	MyComputerJourney	67	START	1614037678158	1614037678158
REQUEST	54		LoadHomePage	1614037677512	1614037678180	OK	 
USER	MyComputerJourney	68	START	1614037678227	1614037678227
REQUEST	55		LoadHomePage	1614037677555	1614037678236	OK	 
REQUEST	3		CreateNewComputer	1614037678060	1614037678240	OK	 
USER	MyComputerJourney	69	START	1614037678276	1614037678276
REQUEST	56		LoadHomePage	1614037677607	1614037678309	OK	 
REQUEST	57		LoadHomePage	1614037677659	1614037678314	OK	 
USER	MyComputerJourney	70	START	1614037678327	1614037678327
USER	MyComputerJourney	71	START	1614037678374	1614037678374
REQUEST	3		CreateNewComputer Redirect 1	1614037678242	1614037678409	OK	 
REQUEST	58		LoadHomePage	1614037677721	1614037678413	OK	 
USER	MyComputerJourney	72	START	1614037678428	1614037678428
REQUEST	59		LoadHomePage	1614037677756	1614037678440	OK	 
USER	MyComputerJourney	73	START	1614037678478	1614037678478
REQUEST	60		LoadHomePage	1614037677814	1614037678511	OK	 
USER	MyComputerJourney	74	START	1614037678527	1614037678527
REQUEST	61		LoadHomePage	1614037677860	1614037678531	OK	 
USER	MyComputerJourney	75	START	1614037678575	1614037678575
REQUEST	62		LoadHomePage	1614037677915	1614037678594	OK	 
USER	MyComputerJourney	76	START	1614037678629	1614037678629
REQUEST	63		LoadHomePage	1614037677961	1614037678656	OK	 
USER	MyComputerJourney	77	START	1614037678675	1614037678675
REQUEST	64		LoadHomePage	1614037678013	1614037678685	OK	 
USER	MyComputerJourney	78	START	1614037678727	1614037678727
REQUEST	65		LoadHomePage	1614037678061	1614037678748	OK	 
USER	MyComputerJourney	79	START	1614037678783	1614037678783
REQUEST	66		LoadHomePage	1614037678114	1614037678790	OK	 
USER	MyComputerJourney	80	START	1614037678828	1614037678828
REQUEST	67		LoadHomePage	1614037678159	1614037678842	OK	 
USER	MyComputerJourney	81	START	1614037678874	1614037678874
REQUEST	68		LoadHomePage	1614037678230	1614037678918	OK	 
USER	MyComputerJourney	82	START	1614037678928	1614037678928
REQUEST	69		LoadHomePage	1614037678279	1614037678945	OK	 
USER	MyComputerJourney	83	START	1614037678974	1614037678974
REQUEST	70		LoadHomePage	1614037678328	1614037679029	OK	 
USER	MyComputerJourney	84	START	1614037679029	1614037679029
REQUEST	6		LoadNewComputerPage	1614037678890	1614037679056	OK	 
REQUEST	71		LoadHomePage	1614037678375	1614037679057	OK	 
USER	MyComputerJourney	85	START	1614037679075	1614037679075
REQUEST	72		LoadHomePage	1614037678429	1614037679100	OK	 
USER	MyComputerJourney	86	START	1614037679128	1614037679128
USER	MyComputerJourney	87	START	1614037679175	1614037679175
REQUEST	73		LoadHomePage	1614037678479	1614037679180	OK	 
REQUEST	74		LoadHomePage	1614037678528	1614037679222	OK	 
USER	MyComputerJourney	88	START	1614037679228	1614037679228
REQUEST	75		LoadHomePage	1614037678576	1614037679274	OK	 
USER	MyComputerJourney	89	START	1614037679275	1614037679275
REQUEST	76		LoadHomePage	1614037678630	1614037679307	OK	 
USER	MyComputerJourney	90	START	1614037679329	1614037679329
REQUEST	77		LoadHomePage	1614037678676	1614037679363	OK	 
USER	MyComputerJourney	91	START	1614037679375	1614037679375
REQUEST	78		LoadHomePage	1614037678728	1614037679406	OK	 
USER	MyComputerJourney	92	START	1614037679433	1614037679433
REQUEST	79		LoadHomePage	1614037678784	1614037679457	OK	 
USER	MyComputerJourney	93	START	1614037679475	1614037679475
REQUEST	80		LoadHomePage	1614037678830	1614037679520	OK	 
USER	MyComputerJourney	94	START	1614037679529	1614037679529
REQUEST	81		LoadHomePage	1614037678875	1614037679553	OK	 
USER	MyComputerJourney	95	START	1614037679574	1614037679574
USER	MyComputerJourney	96	START	1614037679625	1614037679625
REQUEST	82		LoadHomePage	1614037678929	1614037679631	OK	 
REQUEST	83		LoadHomePage	1614037678975	1614037679641	OK	 
USER	MyComputerJourney	97	START	1614037679678	1614037679678
REQUEST	84		LoadHomePage	1614037679031	1614037679719	OK	 
USER	MyComputerJourney	98	START	1614037679724	1614037679724
USER	MyComputerJourney	99	START	1614037679777	1614037679777
REQUEST	86		LoadHomePage	1614037679129	1614037679797	OK	 
REQUEST	85		LoadHomePage	1614037679076	1614037679802	OK	 
USER	MyComputerJourney	100	START	1614037679833	1614037679833
REQUEST	87		LoadHomePage	1614037679177	1614037679846	OK	 
USER	MyComputerJourney	101	START	1614037679880	1614037679880
REQUEST	88		LoadHomePage	1614037679229	1614037679924	OK	 
USER	MyComputerJourney	102	START	1614037679929	1614037679929
REQUEST	89		LoadHomePage	1614037679276	1614037679958	OK	 
USER	MyComputerJourney	103	START	1614037679980	1614037679980
USER	MyComputerJourney	104	START	1614037680028	1614037680028
REQUEST	90		LoadHomePage	1614037679331	1614037680032	OK	 
REQUEST	91		LoadHomePage	1614037679377	1614037680067	OK	 
USER	MyComputerJourney	105	START	1614037680076	1614037680076
REQUEST	92		LoadHomePage	1614037679436	1614037680114	OK	 
USER	MyComputerJourney	106	START	1614037680129	1614037680129
REQUEST	93		LoadHomePage	1614037679476	1614037680161	OK	 
USER	MyComputerJourney	107	START	1614037680175	1614037680175
REQUEST	94		LoadHomePage	1614037679530	1614037680211	OK	 
REQUEST	4		CreateNewComputer	1614037680060	1614037680227	OK	 
USER	MyComputerJourney	108	START	1614037680234	1614037680234
REQUEST	95		LoadHomePage	1614037679575	1614037680251	OK	 
USER	MyComputerJourney	109	START	1614037680291	1614037680291
REQUEST	96		LoadHomePage	1614037679626	1614037680322	OK	 
USER	MyComputerJourney	110	START	1614037680334	1614037680334
REQUEST	97		LoadHomePage	1614037679680	1614037680373	OK	 
USER	MyComputerJourney	111	START	1614037680384	1614037680384
REQUEST	98		LoadHomePage	1614037679726	1614037680399	OK	 
REQUEST	4		CreateNewComputer Redirect 1	1614037680230	1614037680407	OK	 
USER	MyComputerJourney	112	START	1614037680447	1614037680447
REQUEST	99		LoadHomePage	1614037679779	1614037680466	OK	 
USER	MyComputerJourney	113	START	1614037680493	1614037680493
REQUEST	100		LoadHomePage	1614037679834	1614037680511	OK	 
USER	MyComputerJourney	114	START	1614037680541	1614037680541
REQUEST	101		LoadHomePage	1614037679881	1614037680555	OK	 
USER	MyComputerJourney	115	START	1614037680588	1614037680588
REQUEST	102		LoadHomePage	1614037679930	1614037680607	OK	 
USER	MyComputerJourney	116	START	1614037680636	1614037680636
REQUEST	103		LoadHomePage	1614037679981	1614037680684	OK	 
USER	MyComputerJourney	117	START	1614037680688	1614037680688
REQUEST	104		LoadHomePage	1614037680030	1614037680716	OK	 
USER	MyComputerJourney	118	START	1614037680735	1614037680735
REQUEST	105		LoadHomePage	1614037680077	1614037680756	OK	 
USER	MyComputerJourney	119	START	1614037680789	1614037680789
REQUEST	106		LoadHomePage	1614037680130	1614037680792	OK	 
USER	MyComputerJourney	120	START	1614037680837	1614037680837
REQUEST	107		LoadHomePage	1614037680176	1614037680851	OK	 
USER	MyComputerJourney	121	START	1614037680884	1614037680884
REQUEST	108		LoadHomePage	1614037680236	1614037680933	OK	 
USER	MyComputerJourney	122	START	1614037680934	1614037680934
REQUEST	109		LoadHomePage	1614037680294	1614037680962	OK	 
USER	MyComputerJourney	123	START	1614037680992	1614037680992
REQUEST	110		LoadHomePage	1614037680335	1614037681017	OK	 
USER	MyComputerJourney	124	START	1614037681048	1614037681048
REQUEST	7		LoadNewComputerPage	1614037680885	1614037681057	OK	 
REQUEST	111		LoadHomePage	1614037680384	1614037681066	OK	 
USER	MyComputerJourney	125	START	1614037681084	1614037681084
REQUEST	8		LoadNewComputerPage	1614037680935	1614037681106	OK	 
REQUEST	112		LoadHomePage	1614037680448	1614037681118	OK	 
USER	MyComputerJourney	126	START	1614037681136	1614037681136
REQUEST	113		LoadHomePage	1614037680496	1614037681168	OK	 
USER	MyComputerJourney	127	START	1614037681184	1614037681184
REQUEST	114		LoadHomePage	1614037680543	1614037681206	OK	 
USER	MyComputerJourney	128	START	1614037681216	1614037681216
REQUEST	115		LoadHomePage	1614037680589	1614037681273	OK	 
USER	MyComputerJourney	129	START	1614037681277	1614037681277
REQUEST	116		LoadHomePage	1614037680637	1614037681321	OK	 
USER	MyComputerJourney	130	START	1614037681330	1614037681330
REQUEST	117		LoadHomePage	1614037680689	1614037681355	OK	 
REQUEST	9		LoadNewComputerPage	1614037681185	1614037681355	OK	 
REQUEST	11		LoadNewComputerPage	1614037681199	1614037681370	OK	 
REQUEST	10		LoadNewComputerPage	1614037681199	1614037681372	OK	 
USER	MyComputerJourney	131	START	1614037681377	1614037681377
REQUEST	12		LoadNewComputerPage	1614037681199	1614037681380	OK	 
REQUEST	118		LoadHomePage	1614037680737	1614037681410	OK	 
USER	MyComputerJourney	132	START	1614037681432	1614037681432
REQUEST	119		LoadHomePage	1614037680790	1614037681465	OK	 
USER	MyComputerJourney	133	START	1614037681480	1614037681480
USER	MyComputerJourney	134	START	1614037681530	1614037681530
REQUEST	120		LoadHomePage	1614037680837	1614037681534	OK	 
REQUEST	13		LoadNewComputerPage	1614037681393	1614037681561	OK	 
REQUEST	121		LoadHomePage	1614037680885	1614037681572	OK	 
USER	MyComputerJourney	135	START	1614037681575	1614037681575
REQUEST	14		LoadNewComputerPage	1614037681433	1614037681600	OK	 
REQUEST	15		LoadNewComputerPage	1614037681433	1614037681600	OK	 
REQUEST	122		LoadHomePage	1614037680936	1614037681623	OK	 
USER	MyComputerJourney	136	START	1614037681626	1614037681626
