RUN	com.myGatlingTest.MyComputerJourney	mycomputerjourney	1614037657540	l	3.3.1
USER	MyComputerJourney	289	START	1614037689254	1614037689254
REQUEST	275		LoadHomePage	1614037688589	1614037689270	OK	 
REQUEST	65		CreateNewComputer Redirect 1	1614037689114	1614037689279	OK	 
REQUEST	172		LoadNewComputerPage	1614037689119	1614037689285	OK	 
REQUEST	171		LoadNewComputerPage	1614037689119	1614037689285	OK	 
REQUEST	69		CreateNewComputer	1614037689150	1614037689317	OK	 
USER	MyComputerJourney	290	START	1614037689319	1614037689319
REQUEST	66		CreateNewComputer Redirect 1	1614037689157	1614037689326	OK	 
REQUEST	276		LoadHomePage	1614037688635	1614037689327	OK	 
USER	MyComputerJourney	291	START	1614037689354	1614037689354
REQUEST	173		LoadNewComputerPage	1614037689183	1614037689367	OK	 
REQUEST	67		CreateNewComputer Redirect 1	1614037689209	1614037689377	OK	 
REQUEST	277		LoadHomePage	1614037688689	1614037689380	OK	 
REQUEST	174		LoadNewComputerPage	1614037689224	1614037689392	OK	 
REQUEST	70		CreateNewComputer	1614037689219	1614037689395	OK	 
REQUEST	71		CreateNewComputer	1614037689250	1614037689415	OK	 
USER	MyComputerJourney	292	START	1614037689420	1614037689420
REQUEST	68		CreateNewComputer Redirect 1	1614037689254	1614037689431	OK	 
REQUEST	278		LoadHomePage	1614037688735	1614037689432	OK	 
REQUEST	175		LoadNewComputerPage	1614037689281	1614037689451	OK	 
USER	MyComputerJourney	293	START	1614037689455	1614037689455
REQUEST	279		LoadHomePage	1614037688788	1614037689470	OK	 
REQUEST	69		CreateNewComputer Redirect 1	1614037689317	1614037689485	OK	 
REQUEST	72		CreateNewComputer	1614037689320	1614037689490	OK	 
REQUEST	176		LoadNewComputerPage	1614037689324	1614037689498	OK	 
USER	MyComputerJourney	294	START	1614037689504	1614037689504
REQUEST	280		LoadHomePage	1614037688835	1614037689531	OK	 
REQUEST	177		LoadNewComputerPage	1614037689382	1614037689547	OK	 
REQUEST	73		CreateNewComputer	1614037689384	1614037689546	OK	 
REQUEST	6		FilterComputer	1614037689382	1614037689547	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037689548
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037689548
USER	MyComputerJourney	6	END	1614037673181	1614037689550
USER	MyComputerJourney	295	START	1614037689554	1614037689554
REQUEST	281		LoadHomePage	1614037688889	1614037689563	OK	 
REQUEST	70		CreateNewComputer Redirect 1	1614037689395	1614037689566	OK	 
REQUEST	71		CreateNewComputer Redirect 1	1614037689416	1614037689585	OK	 
REQUEST	74		CreateNewComputer	1614037689420	1614037689597	OK	 
REQUEST	282		LoadHomePage	1614037688937	1614037689619	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 429
USER	MyComputerJourney	296	START	1614037689619	1614037689619
REQUEST	75		CreateNewComputer	1614037689455	1614037689624	OK	 
REQUEST	178		LoadNewComputerPage	1614037689472	1614037689638	OK	 
USER	MyComputerJourney	297	START	1614037689654	1614037689654
REQUEST	76		CreateNewComputer	1614037689486	1614037689655	OK	 
REQUEST	72		CreateNewComputer Redirect 1	1614037689491	1614037689661	OK	 
REQUEST	283		LoadHomePage	1614037688984	1614037689662	OK	 
REQUEST	179		LoadNewComputerPage	1614037689502	1614037689667	OK	 
REQUEST	180		LoadNewComputerPage	1614037689520	1614037689692	OK	 
REQUEST	73		CreateNewComputer Redirect 1	1614037689548	1614037689712	OK	 
USER	MyComputerJourney	298	START	1614037689720	1614037689720
REQUEST	77		CreateNewComputer	1614037689551	1614037689721	OK	 
REQUEST	181		LoadNewComputerPage	1614037689564	1614037689729	OK	 
REQUEST	284		LoadHomePage	1614037689034	1614037689733	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 429
REQUEST	285		LoadHomePage	1614037689085	1614037689753	OK	 
USER	MyComputerJourney	299	START	1614037689754	1614037689754
REQUEST	78		CreateNewComputer	1614037689595	1614037689762	KO	status.find.in(200,201,202,203,204,205,206,207,208,209,304), found 429
REQUEST	74		CreateNewComputer Redirect 1	1614037689597	1614037689766	OK	 
REQUEST	75		CreateNewComputer Redirect 1	1614037689625	1614037689810	OK	 
USER	MyComputerJourney	300	START	1614037689821	1614037689821
REQUEST	182		LoadNewComputerPage	1614037689651	1614037689825	OK	 
REQUEST	79		CreateNewComputer	1614037689651	1614037689825	OK	 
REQUEST	183		LoadNewComputerPage	1614037689666	1614037689827	OK	 
REQUEST	286		LoadHomePage	1614037689135	1614037689829	OK	 
REQUEST	76		CreateNewComputer Redirect 1	1614037689655	1614037689829	OK	 
REQUEST	287		LoadHomePage	1614037689184	1614037689853	OK	 
USER	MyComputerJourney	301	START	1614037689854	1614037689854
REQUEST	80		CreateNewComputer	1614037689720	1614037689899	OK	 
REQUEST	288		LoadHomePage	1614037689220	1614037689907	OK	 
REQUEST	77		CreateNewComputer Redirect 1	1614037689722	1614037689907	OK	 
USER	MyComputerJourney	302	START	1614037689920	1614037689920
REQUEST	184		LoadNewComputerPage	1614037689751	1614037689934	OK	 
REQUEST	81		CreateNewComputer	1614037689752	1614037689935	OK	 
REQUEST	289		LoadHomePage	1614037689254	1614037689945	OK	 
USER	MyComputerJourney	303	START	1614037689954	1614037689954
REQUEST	186		LoadNewComputerPage	1614037689824	1614037689998	OK	 
REQUEST	290		LoadHomePage	1614037689321	1614037689998	OK	 
REQUEST	82		CreateNewComputer	1614037689821	1614037689998	OK	 
REQUEST	185		LoadNewComputerPage	1614037689821	1614037690000	OK	 
REQUEST	79		CreateNewComputer Redirect 1	1614037689827	1614037690002	OK	 
USER	MyComputerJourney	304	START	1614037690004	1614037690004
REQUEST	83		CreateNewComputer	1614037689836	1614037690004	OK	 
REQUEST	291		LoadHomePage	1614037689355	1614037690036	OK	 
USER	MyComputerJourney	305	START	1614037690054	1614037690054
REQUEST	187		LoadNewComputerPage	1614037689882	1614037690066	OK	 
REQUEST	80		CreateNewComputer Redirect 1	1614037689900	1614037690076	OK	 
REQUEST	188		LoadNewComputerPage	1614037689920	1614037690088	OK	 
REQUEST	84		CreateNewComputer	1614037689920	1614037690088	OK	 
REQUEST	81		CreateNewComputer Redirect 1	1614037689935	1614037690101	OK	 
REQUEST	292		LoadHomePage	1614037689420	1614037690105	OK	 
USER	MyComputerJourney	306	START	1614037690120	1614037690120
REQUEST	189		LoadNewComputerPage	1614037689974	1614037690145	OK	 
REQUEST	86		CreateNewComputer	1614037689986	1614037690152	OK	 
USER	MyComputerJourney	307	START	1614037690154	1614037690154
REQUEST	293		LoadHomePage	1614037689456	1614037690155	OK	 
REQUEST	294		LoadHomePage	1614037689505	1614037690172	OK	 
REQUEST	82		CreateNewComputer Redirect 1	1614037689999	1614037690172	OK	 
REQUEST	85		CreateNewComputer	1614037690001	1614037690173	OK	 
REQUEST	83		CreateNewComputer Redirect 1	1614037690005	1614037690175	OK	 
REQUEST	190		LoadNewComputerPage	1614037690020	1614037690186	OK	 
USER	MyComputerJourney	308	START	1614037690221	1614037690221
REQUEST	87		CreateNewComputer	1614037690052	1614037690226	OK	 
REQUEST	295		LoadHomePage	1614037689555	1614037690245	OK	 
REQUEST	191		LoadNewComputerPage	1614037690083	1614037690251	OK	 
USER	MyComputerJourney	309	START	1614037690254	1614037690254
REQUEST	84		CreateNewComputer Redirect 1	1614037690089	1614037690262	OK	 
REQUEST	88		CreateNewComputer	1614037690121	1614037690287	OK	 
REQUEST	192		LoadNewComputerPage	1614037690124	1614037690296	OK	 
REQUEST	296		LoadHomePage	1614037689620	1614037690309	OK	 
USER	MyComputerJourney	310	START	1614037690321	1614037690321
REQUEST	89		CreateNewComputer	1614037690154	1614037690322	OK	 
REQUEST	86		CreateNewComputer Redirect 1	1614037690153	1614037690324	OK	 
REQUEST	193		LoadNewComputerPage	1614037690167	1614037690339	OK	 
REQUEST	297		LoadHomePage	1614037689654	1614037690340	OK	 
REQUEST	85		CreateNewComputer Redirect 1	1614037690173	1614037690341	OK	 
USER	MyComputerJourney	311	START	1614037690354	1614037690354
REQUEST	194		LoadNewComputerPage	1614037690221	1614037690399	OK	 
REQUEST	90		CreateNewComputer	1614037690224	1614037690399	OK	 
REQUEST	87		CreateNewComputer Redirect 1	1614037690227	1614037690400	OK	 
USER	MyComputerJourney	312	START	1614037690404	1614037690404
REQUEST	298		LoadHomePage	1614037689722	1614037690408	OK	 
REQUEST	299		LoadHomePage	1614037689755	1614037690430	OK	 
REQUEST	91		CreateNewComputer	1614037690254	1614037690435	OK	 
REQUEST	195		LoadNewComputerPage	1614037690268	1614037690437	OK	 
USER	MyComputerJourney	313	START	1614037690454	1614037690454
REQUEST	88		CreateNewComputer Redirect 1	1614037690288	1614037690460	OK	 
REQUEST	92		CreateNewComputer	1614037690322	1614037690488	OK	 
REQUEST	89		CreateNewComputer Redirect 1	1614037690324	1614037690490	OK	 
REQUEST	300		LoadHomePage	1614037689822	1614037690496	OK	 
USER	MyComputerJourney	314	START	1614037690504	1614037690504
REQUEST	196		LoadNewComputerPage	1614037690336	1614037690506	OK	 
REQUEST	93		CreateNewComputer	1614037690352	1614037690519	OK	 
REQUEST	301		LoadHomePage	1614037689855	1614037690533	OK	 
USER	MyComputerJourney	315	START	1614037690554	1614037690554
REQUEST	94		CreateNewComputer	1614037690384	1614037690563	OK	 
REQUEST	197		LoadNewComputerPage	1614037690384	1614037690565	OK	 
REQUEST	90		CreateNewComputer Redirect 1	1614037690400	1614037690573	OK	 
REQUEST	198		LoadNewComputerPage	1614037690421	1614037690588	OK	 
USER	MyComputerJourney	316	START	1614037690607	1614037690607
REQUEST	91		CreateNewComputer Redirect 1	1614037690435	1614037690609	OK	 
REQUEST	95		CreateNewComputer	1614037690454	1614037690620	OK	 
REQUEST	302		LoadHomePage	1614037689921	1614037690622	OK	 
REQUEST	303		LoadHomePage	1614037689954	1614037690650	OK	 
REQUEST	92		CreateNewComputer Redirect 1	1614037690488	1614037690658	OK	 
USER	MyComputerJourney	317	START	1614037690668	1614037690668
REQUEST	199		LoadNewComputerPage	1614037690501	1614037690673	OK	 
REQUEST	304		LoadHomePage	1614037690004	1614037690682	OK	 
REQUEST	200		LoadNewComputerPage	1614037690522	1614037690691	OK	 
REQUEST	93		CreateNewComputer Redirect 1	1614037690520	1614037690693	OK	 
REQUEST	96		CreateNewComputer	1614037690522	1614037690695	OK	 
USER	MyComputerJourney	318	START	1614037690704	1614037690704
REQUEST	305		LoadHomePage	1614037690054	1614037690727	OK	 
REQUEST	94		CreateNewComputer Redirect 1	1614037690564	1614037690734	OK	 
REQUEST	97		CreateNewComputer	1614037690564	1614037690734	OK	 
REQUEST	98		CreateNewComputer	1614037690585	1614037690755	OK	 
REQUEST	201		LoadNewComputerPage	1614037690585	1614037690756	OK	 
USER	MyComputerJourney	319	START	1614037690764	1614037690764
REQUEST	202		LoadNewComputerPage	1614037690617	1614037690784	OK	 
REQUEST	95		CreateNewComputer Redirect 1	1614037690621	1614037690793	OK	 
REQUEST	306		LoadHomePage	1614037690121	1614037690807	OK	 
USER	MyComputerJourney	320	START	1614037690822	1614037690822
REQUEST	203		LoadNewComputerPage	1614037690668	1614037690845	OK	 
REQUEST	99		CreateNewComputer	1614037690668	1614037690845	OK	 
REQUEST	307		LoadHomePage	1614037690154	1614037690847	OK	 
USER	MyComputerJourney	321	START	1614037690854	1614037690854
REQUEST	96		CreateNewComputer Redirect 1	1614037690696	1614037690862	OK	 
REQUEST	100		CreateNewComputer	1614037690699	1614037690871	OK	 
REQUEST	204		LoadNewComputerPage	1614037690704	1614037690871	OK	 
REQUEST	308		LoadHomePage	1614037690223	1614037690897	OK	 
REQUEST	101		CreateNewComputer	1614037690733	1614037690899	OK	 
USER	MyComputerJourney	322	START	1614037690904	1614037690904
REQUEST	97		CreateNewComputer Redirect 1	1614037690734	1614037690906	OK	 
REQUEST	98		CreateNewComputer Redirect 1	1614037690756	1614037690924	OK	 
REQUEST	205		LoadNewComputerPage	1614037690764	1614037690932	OK	 
REQUEST	309		LoadHomePage	1614037690255	1614037690937	OK	 
USER	MyComputerJourney	323	START	1614037690954	1614037690954
REQUEST	102		CreateNewComputer	1614037690796	1614037690977	OK	 
REQUEST	99		CreateNewComputer Redirect 1	1614037690845	1614037691018	OK	 
USER	MyComputerJourney	324	START	1614037691022	1614037691022
REQUEST	206		LoadNewComputerPage	1614037690853	1614037691026	OK	 
REQUEST	310		LoadHomePage	1614037690323	1614037691041	OK	 
REQUEST	100		CreateNewComputer Redirect 1	1614037690871	1614037691042	OK	 
REQUEST	311		LoadHomePage	1614037690354	1614037691045	OK	 
USER	MyComputerJourney	325	START	1614037691054	1614037691054
REQUEST	207		LoadNewComputerPage	1614037690884	1614037691055	OK	 
REQUEST	103		CreateNewComputer	1614037690884	1614037691058	OK	 
REQUEST	101		CreateNewComputer Redirect 1	1614037690900	1614037691075	OK	 
REQUEST	104		CreateNewComputer	1614037690904	1614037691076	OK	 
REQUEST	312		LoadHomePage	1614037690404	1614037691085	OK	 
REQUEST	208		LoadNewComputerPage	1614037690922	1614037691088	OK	 
USER	MyComputerJourney	326	START	1614037691123	1614037691123
REQUEST	209		LoadNewComputerPage	1614037690954	1614037691130	OK	 
REQUEST	105		CreateNewComputer	1614037690954	1614037691131	OK	 
REQUEST	106		CreateNewComputer	1614037690969	1614037691132	OK	 
REQUEST	313		LoadHomePage	1614037690455	1614037691134	OK	 
REQUEST	102		CreateNewComputer Redirect 1	1614037690978	1614037691148	OK	 
USER	MyComputerJourney	327	START	1614037691154	1614037691154
REQUEST	314		LoadHomePage	1614037690504	1614037691197	OK	 
REQUEST	210		LoadNewComputerPage	1614037691023	1614037691198	OK	 
REQUEST	107		CreateNewComputer	1614037691050	1614037691223	OK	 
USER	MyComputerJourney	328	START	1614037691224	1614037691224
REQUEST	315		LoadHomePage	1614037690554	1614037691226	OK	 
REQUEST	103		CreateNewComputer Redirect 1	1614037691059	1614037691235	OK	 
REQUEST	104		CreateNewComputer Redirect 1	1614037691077	1614037691252	OK	 
USER	MyComputerJourney	329	START	1614037691274	1614037691274
REQUEST	316		LoadHomePage	1614037690607	1614037691276	OK	 
REQUEST	211		LoadNewComputerPage	1614037691124	1614037691295	OK	 
REQUEST	212		LoadNewComputerPage	1614037691124	1614037691297	OK	 
REQUEST	108		CreateNewComputer	1614037691124	1614037691297	OK	 
REQUEST	105		CreateNewComputer Redirect 1	1614037691132	1614037691304	OK	 
REQUEST	106		CreateNewComputer Redirect 1	1614037691133	1614037691319	OK	 
USER	MyComputerJourney	330	START	1614037691324	1614037691324
REQUEST	213		LoadNewComputerPage	1614037691154	1614037691350	OK	 
REQUEST	109		CreateNewComputer	1614037691155	1614037691351	OK	 
REQUEST	317		LoadHomePage	1614037690669	1614037691361	OK	 
USER	MyComputerJourney	331	START	1614037691374	1614037691374
REQUEST	110		CreateNewComputer	1614037691204	1614037691376	OK	 
REQUEST	214		LoadNewComputerPage	1614037691224	1614037691399	OK	 
REQUEST	107		CreateNewComputer Redirect 1	1614037691225	1614037691400	OK	 
REQUEST	318		LoadHomePage	1614037690705	1614037691403	OK	 
REQUEST	111		CreateNewComputer	1614037691257	1614037691425	OK	 
USER	MyComputerJourney	332	START	1614037691425	1614037691425
REQUEST	215		LoadNewComputerPage	1614037691272	1614037691442	OK	 
REQUEST	319		LoadHomePage	1614037690765	1614037691443	OK	 
REQUEST	108		CreateNewComputer Redirect 1	1614037691298	1614037691465	OK	 
REQUEST	216		LoadNewComputerPage	1614037691304	1614037691468	OK	 
REQUEST	112		CreateNewComputer	1614037691304	1614037691469	OK	 
USER	MyComputerJourney	333	START	1614037691474	1614037691474
REQUEST	217		LoadNewComputerPage	1614037691354	1614037691520	OK	 
REQUEST	109		CreateNewComputer Redirect 1	1614037691352	1614037691520	OK	 
REQUEST	320		LoadHomePage	1614037690823	1614037691521	OK	 
REQUEST	113		CreateNewComputer	1614037691354	1614037691521	OK	 
USER	MyComputerJourney	334	START	1614037691524	1614037691524
REQUEST	321		LoadHomePage	1614037690854	1614037691534	OK	 
REQUEST	7		FilterComputer	1614037691374	1614037691543	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037691544
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037691544
USER	MyComputerJourney	7	END	1614037675154	1614037691545
REQUEST	110		CreateNewComputer Redirect 1	1614037691376	1614037691546	OK	 
REQUEST	114		CreateNewComputer	1614037691408	1614037691574	OK	 
USER	MyComputerJourney	335	START	1614037691575	1614037691575
REQUEST	322		LoadHomePage	1614037690904	1614037691588	OK	 
REQUEST	218		LoadNewComputerPage	1614037691425	1614037691591	OK	 
REQUEST	111		CreateNewComputer Redirect 1	1614037691426	1614037691592	OK	 
REQUEST	8		FilterComputer	1614037691444	1614037691617	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037691617
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037691617
USER	MyComputerJourney	8	END	1614037675224	1614037691618
USER	MyComputerJourney	336	START	1614037691629	1614037691629
REQUEST	323		LoadHomePage	1614037690955	1614037691639	OK	 
REQUEST	112		CreateNewComputer Redirect 1	1614037691470	1614037691639	OK	 
REQUEST	115		CreateNewComputer	1614037691474	1614037691644	OK	 
REQUEST	219		LoadNewComputerPage	1614037691474	1614037691645	OK	 
REQUEST	116		CreateNewComputer	1614037691505	1614037691668	OK	 
USER	MyComputerJourney	337	START	1614037691675	1614037691675
REQUEST	113		CreateNewComputer Redirect 1	1614037691521	1614037691685	OK	 
REQUEST	220		LoadNewComputerPage	1614037691524	1614037691695	OK	 
REQUEST	117		CreateNewComputer	1614037691539	1614037691701	OK	 
REQUEST	324		LoadHomePage	1614037691024	1614037691713	OK	 
REQUEST	221		LoadNewComputerPage	1614037691555	1614037691719	OK	 
USER	MyComputerJourney	338	START	1614037691724	1614037691724
REQUEST	114		CreateNewComputer Redirect 1	1614037691574	1614037691745	OK	 
REQUEST	325		LoadHomePage	1614037691055	1614037691755	OK	 
REQUEST	118		CreateNewComputer	1614037691597	1614037691768	OK	 
USER	MyComputerJourney	339	START	1614037691774	1614037691774
REQUEST	222		LoadNewComputerPage	1614037691629	1614037691802	OK	 
REQUEST	326		LoadHomePage	1614037691124	1614037691805	OK	 
REQUEST	119		CreateNewComputer	1614037691644	1614037691809	OK	 
REQUEST	115		CreateNewComputer Redirect 1	1614037691644	1614037691814	OK	 
USER	MyComputerJourney	340	START	1614037691824	1614037691824
REQUEST	223		LoadNewComputerPage	1614037691666	1614037691833	OK	 
REQUEST	116		CreateNewComputer Redirect 1	1614037691669	1614037691840	OK	 
REQUEST	117		CreateNewComputer Redirect 1	1614037691702	1614037691869	OK	 
REQUEST	327		LoadHomePage	1614037691155	1614037691869	OK	 
USER	MyComputerJourney	341	START	1614037691874	1614037691874
REQUEST	224		LoadNewComputerPage	1614037691724	1614037691907	OK	 
REQUEST	10		FilterComputer	1614037691724	1614037691908	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037691908
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037691908
USER	MyComputerJourney	10	END	1614037675324	1614037691909
REQUEST	9		FilterComputer	1614037691724	1614037691910	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037691910
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037691910
REQUEST	11		FilterComputer	1614037691724	1614037691910	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037691911
USER	MyComputerJourney	9	END	1614037675274	1614037691911
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037691911
REQUEST	12		FilterComputer	1614037691724	1614037691912	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
USER	MyComputerJourney	11	END	1614037675374	1614037691912
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037691912
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037691912
USER	MyComputerJourney	12	END	1614037675426	1614037691913
REQUEST	120		CreateNewComputer	1614037691724	1614037691916	OK	 
REQUEST	328		LoadHomePage	1614037691225	1614037691919	OK	 
USER	MyComputerJourney	342	START	1614037691924	1614037691924
REQUEST	118		CreateNewComputer Redirect 1	1614037691769	1614037691938	OK	 
REQUEST	121		CreateNewComputer	1614037691772	1614037691939	OK	 
REQUEST	329		LoadHomePage	1614037691275	1614037691940	OK	 
REQUEST	225		LoadNewComputerPage	1614037691774	1614037691942	OK	 
USER	MyComputerJourney	343	START	1614037691974	1614037691974
REQUEST	119		CreateNewComputer Redirect 1	1614037691810	1614037691979	OK	 
REQUEST	226		LoadNewComputerPage	1614037691824	1614037691989	OK	 
REQUEST	122		CreateNewComputer	1614037691824	1614037691992	OK	 
REQUEST	330		LoadHomePage	1614037691324	1614037692010	OK	 
USER	MyComputerJourney	344	START	1614037692025	1614037692025
REQUEST	13		FilterComputer	1614037691874	1614037692039	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037692039
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037692040
REQUEST	331		LoadHomePage	1614037691374	1614037692040	OK	 
REQUEST	227		LoadNewComputerPage	1614037691874	1614037692040	OK	 
USER	MyComputerJourney	13	END	1614037675475	1614037692042
REQUEST	123		CreateNewComputer	1614037691871	1614037692044	OK	 
REQUEST	124		CreateNewComputer	1614037691904	1614037692072	OK	 
USER	MyComputerJourney	345	START	1614037692074	1614037692074
REQUEST	120		CreateNewComputer Redirect 1	1614037691916	1614037692085	OK	 
REQUEST	15		FilterComputer	1614037691924	1614037692095	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037692095
REQUEST	228		LoadNewComputerPage	1614037691924	1614037692096	OK	 
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037692096
REQUEST	332		LoadHomePage	1614037691426	1614037692096	OK	 
USER	MyComputerJourney	15	END	1614037675574	1614037692097
REQUEST	14		FilterComputer	1614037691924	1614037692099	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037692099
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037692100
USER	MyComputerJourney	14	END	1614037675524	1614037692101
REQUEST	121		CreateNewComputer Redirect 1	1614037691940	1614037692120	OK	 
USER	MyComputerJourney	346	START	1614037692125	1614037692125
REQUEST	125		CreateNewComputer	1614037691971	1614037692137	OK	 
REQUEST	333		LoadHomePage	1614037691474	1614037692154	OK	 
REQUEST	122		CreateNewComputer Redirect 1	1614037691992	1614037692169	OK	 
REQUEST	229		LoadNewComputerPage	1614037692002	1614037692171	OK	 
USER	MyComputerJourney	347	START	1614037692174	1614037692174
REQUEST	126		CreateNewComputer	1614037692025	1614037692194	OK	 
REQUEST	230		LoadNewComputerPage	1614037692025	1614037692200	OK	 
REQUEST	334		LoadHomePage	1614037691524	1614037692204	OK	 
REQUEST	123		CreateNewComputer Redirect 1	1614037692045	1614037692216	OK	 
USER	MyComputerJourney	348	START	1614037692225	1614037692225
REQUEST	124		CreateNewComputer Redirect 1	1614037692073	1614037692237	OK	 
REQUEST	18		FilterComputer	1614037692071	1614037692237	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037692237
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037692237
USER	MyComputerJourney	18	END	1614037675724	1614037692238
REQUEST	16		FilterComputer	1614037692071	1614037692238	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037692238
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037692239
REQUEST	19		FilterComputer	1614037692071	1614037692239	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037692239
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037692239
USER	MyComputerJourney	16	END	1614037675634	1614037692239
USER	MyComputerJourney	19	END	1614037675774	1614037692240
REQUEST	128		CreateNewComputer	1614037692074	1614037692242	OK	 
REQUEST	127		CreateNewComputer	1614037692074	1614037692246	OK	 
REQUEST	335		LoadHomePage	1614037691576	1614037692258	OK	 
REQUEST	231		LoadNewComputerPage	1614037692087	1614037692259	OK	 
REQUEST	232		LoadNewComputerPage	1614037692104	1614037692269	OK	 
REQUEST	17		FilterComputer	1614037692102	1614037692275	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037692276
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037692276
USER	MyComputerJourney	17	END	1614037675680	1614037692277
USER	MyComputerJourney	349	START	1614037692288	1614037692288
REQUEST	336		LoadHomePage	1614037691630	1614037692321	OK	 
REQUEST	129		CreateNewComputer	1614037692144	1614037692322	OK	 
REQUEST	125		CreateNewComputer Redirect 1	1614037692138	1614037692325	OK	 
USER	MyComputerJourney	350	START	1614037692325	1614037692325
REQUEST	233		LoadNewComputerPage	1614037692160	1614037692327	OK	 
REQUEST	337		LoadHomePage	1614037691676	1614037692352	OK	 
REQUEST	130		CreateNewComputer	1614037692194	1614037692363	OK	 
REQUEST	126		CreateNewComputer Redirect 1	1614037692195	1614037692364	OK	 
USER	MyComputerJourney	351	START	1614037692374	1614037692374
REQUEST	234		LoadNewComputerPage	1614037692241	1614037692412	OK	 
REQUEST	128		CreateNewComputer Redirect 1	1614037692243	1614037692412	OK	 
REQUEST	127		CreateNewComputer Redirect 1	1614037692247	1614037692414	OK	 
REQUEST	21		FilterComputer	1614037692258	1614037692420	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037692420
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037692420
USER	MyComputerJourney	21	END	1614037675875	1614037692421
REQUEST	338		LoadHomePage	1614037691725	1614037692422	OK	 
USER	MyComputerJourney	352	START	1614037692425	1614037692425
REQUEST	131		CreateNewComputer	1614037692259	1614037692430	OK	 
REQUEST	20		FilterComputer	1614037692268	1614037692437	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
REQUEST	22		FilterComputer	1614037692268	1614037692437	KO	regex(computers\/([0-9]{3,5})).find.exists, found nothing
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037692437
ERROR	GetSingleComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037692437
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037692437
ERROR	DeleteComputer: Failed to build request: No attribute named 'topComputerInList' is defined 	1614037692437
USER	MyComputerJourney	22	END	1614037675929	1614037692438
